Algorithm, Length, ascending,  descending,  random
bubble,    1000,   0.004,      0.005,       0.005, 
insertion, 1000,   0.003,      0.004,       0.004, 
bucket,    1000,   0.003,      0.003,       0.003, 
merge,     1000,   0.003,      0.003,       0.003,
quick,     1000,   0.003,      0.003,       0.003,
bubble,    10000,  0.128,      0.227,       0.257,
insertion, 10000,  0.004,      0.154,       0.081,
bucket,    10000,  0.005,      0.004,       0.005,
merge,     10000,  0.005,      0.005,       0.006,
quick,     10000,  0.011,      0.012,       0.013,
bubble,    100000, 11.1,       19.7,        28.6, 
insertion, 100000, 0.013,      12.9,        6.71,
bucket,    100000, 0.05,       0.05,        0.03,
merge,     100000, 0.031,      0.06,        0.067, 
quick,     100000, 0.086,      0.119,       0.103,

bucket,    1000000, 0.5,       0.4,         0.5,
merge,     1000000, 0.33,      0.324,       0.405,
quick,     1000000, 1.027,     1.033,       1.065,
(estimate:) 
bubble,    1000000, 1280,      2270,        2570, 
insertion, 1000000, 0.4,       1540,        810, 
